Name,GameGrin,Shindig,KeenGamer,GameSpot,Wccftech,Ragequit.gr,IGN,TrueGaming,Press Start Australia,PCMag,Game Informer,Polygon,CPUGamer,Playboy,GameSpy,GamerArchive,Cincinnati Enquirer,eToychest,Adrenaline Vault,Gamer.tv,GamerFeed,Thunderbolt,Eurogamer,Xequted,G4 TV,GamePro,Times Online,Computer Games Magazine,The Sydney Morning Herald,Just Adventure,Four Fat Chicks,Frictionless Insight,Gaming Age,Boomtown,Total Video Games,Edge Magazine,Play Magazine,Yahoo!,Gamers Depot,Armchair Empire,The New York Times,GMR Magazine,Australian GamePro,Game Chronicles,Inside Gamer Online,VIA Gamers Arena,IC-Games,PC Gamer,Jolt Online Gaming UK,Gaming Horizon,Computer and Video Games,Game Over Online,Gamezilla!,Worth Playing,GameBiz,PGNx Media,AtomicGamer,Games Radar,PC Format,Gamer's Hell,XGP Gaming,Play.tm,3DAvenue,Gamers Europe,FiringSquad,IncGamers,Game Power Australia,Next Level Gaming,GamingTrend,Computer Games Online RO,Electric Playground,GameZone,GameSpot AU,My Gamer,WHAM! Gaming,Gamers' Temple,TotalGames.net,ActionTrip,Gaming Nexus,PC Gameworld,Warcry,Game Revolution,Cheat Code Central,1UP,Computer Gaming World,GameShark,GameCritics,Gamenikki,VGPub,netjak,DarkStation,CD-Action,GameOver.gr,LEVEL (Czech Republic),Impulsegamer,Gamer.no,DarkZero,AusGamers,Games.cz,We Got This Covered,Gameplanet,Atomix,God is a Geek,LevelUp,Gamer.nl,Eurogamer Italy,GameWatcher,PCGamesN,Twinfinite,Hardcore Gamer,Guardian,JeuxActu,VideoGamer,Eurogamer Poland,Meristation,Attack of the Fanboy,Gameblog.fr,GamesVillage.it,IGN Spain,Hobby Consolas,Vandal,SpazioGames,NZGamer,InsideGamer.nl,Hooked Gamers,PC Games,GRYOnline.pl,XGN,Merlin'in Kazanı (Turkey),3DJuegos,Digital Chumps,GameStar,PC PowerPlay,Digitally Downloaded,Dealspwn,Critical Hit,4Players.de,CGMagazine,GameTap,Game Almighty,GamerNode,AceGamez,Gamer 2.0,GamingExcellence,Game Positive,IGN AU,YouGamers,GameTrailers,Deeko,All Game Guide,Hot Games,Happy Puppy,GameDaily,The A.V. Club,PC Zone UK,PC Gamer UK,Digital Entertainment News,Just RPG,DailyGame,GamePower,CheckOut,Daily Radar,Quandary,Antagonist,Da Gameboyz,Gamer's Pulse,GamerWeb PC,CNET Gamecenter,Spank!,Game Rant,The Mako Reactor,Tech-Gaming,PC Invasion,Oyungezer,"Rock, Paper, Shotgun",PC Games (Russia),Adventure Gamers,GamesRadar+,Destructoid,Giant Bomb,Gaming Target,Bit-Gamer,GamingXP,Absolute Games,Cynamite,Pelit (Finland),Eurogamer Spain,Gamers.at,Gamereactor Denmark,Gamekult,Everyeye.it,MEGamers,PC Master (Greece),Level7.nu,Eurogamer Portugal,Total PC Gaming,RPGamer,D+PAD Magazine,Gamereactor Sweden,Gamervision,Multiplayer.it,RealGamer,IGN UK,9Lives,Kikizo,RPG Fan,PC Arena,GameNow,Pregaming,Hyper Magazine,Machinima,Toronto Sun,games(TM),Telegraph,The Escapist,Joystiq,Eurogamer Sweden,ZTGD,Games Master UK,Eurogamer Germany,GamesBeat,Riot Pixels,GameFront,NowGamer,Entertainment Weekly,BonusStage,GameSkinny,M3,NME,VG247,Hey Poor Player,Noisy Pixel,WellPlayed,Gamersky,The Games Machine,MMORPG.com,Gamers Heroes,Stevivor,Easy Allies,GameByte,Checkpoint Gaming,IGN Italia,GameSpace,RPG Site,GamingBolt,IGN Portugal,Jeuxvideo.com,Trusted Reviews,IGN France,MGG,Shacknews,But Why Tho?,Comicbook.com,Digital Trends,Cubed3,Siliconera,The Verge,Vice,PALGN,RewiredMind,PCWorld,Quarter to Three,Ten Ton Hammer,PLAY! Zine,Washington Post,Gamestyle,Softpedia,GameCrate,Ars Technica,Gaming Illustrated,Launcher (The Washington Post),GameSpew,Gfinity,Kotaku,Screen Rant,Windows Central,Daily Star,GMW3,Road to VR,UploadVR,DualShockers,VGC,COGconnected,Areajugones,Power Unlimited,Game World Navigator Magazine,Malditos Nerds,TheGamer,USgamer,Game Debate,Metro GameCentral,The Overpowered Noobs,British GQ,CNET,PlayGround.ru,Vgames,TheSixthAxis,Post Arcade (National Post),New Game Network,VideoGamesLife,Gamer Limit,Video Game Talk,BigPond GameArena,Wired,The Digital Fix,GamePen,Media and Games Online Network,Evil Avatar,New York Daily News,BaziCenter,SECTOR.sk,IGN Adria,TierraGamer,Gamepressure,IGN Japan,Cultured Vultures,Detroit Free Press,AltGaming,Stuff,Pelaaja (Finland),Maxim Online,Cinescape,Game Fan,Operation Sports,Play (Poland),The Jimquisition,Kill Screen,GamesHub,Dexerto,Gamer Escape,Inverse,Het Nieuwsblad,Brash Games,Sporting News,Examiner,Sports Gaming Network,Voodoo Extreme,Player 2,INVEN,HellBored,Gameplayer,Variety,Forbes,Arcade Sushi,IBTimes UK,The Daily Dot,IGN Sweden,MGG Spain,GotNext,PTGamers,NTSC-uk,GameBrink,Strategy Gamer,Gameplayer Sweden,GameFocus,WonderwallWeb,The Indie Game Website,Slant Magazine,FHM,Next Generation Magazine,Digital Spy,EGM,FANDOM,Finger Guns,GameMAG,Mashable,Buried Treasure,App Trigger,GamesNation,GamersRD,ICXM,High-Def Digest,IGN Denmark,TouchArcade,GAMINGbible,Movies Games and Tech,Time,Glixel,GAMES.CH,The Enemy,SomosXbox,XboxEra,The Indie Informer,Gamereactor Finland,Gamereactor UK,Metro Montreal,Carole Quintaine,CalmDownTom,PlaySense,UGO,Let's Play Video Games,Village Voice,GameReviewer,The Loadout,The Independent,GamePro Germany,Android Central,NPR,GGRecon,TotalPlayStation,PSX Extreme,Xbox Tavern,Pure Xbox,IGN Brasil,IndieWire,Play UK,PlayStation LifeStyle,PSM3 Magazine UK,Grab It Magazine,Wired UK,BBC Sport
still-there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,80.0,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neo-scavenger,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,80.0,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
child-of-light,,,,,,80.0,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,80.0,,,,,78.0,,,80.0,,,,,,,,,,,,,,,85,,,90.0,85.0,,,,,,82,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,67.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
game-of-thrones-episode-three---the-sword-in-the-darkness,,,,80,,93.0,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,70,82.0,,,,,,,,80,,90.0,,,,60.0,,70.0,,90.0,,50,,,,80.0,,,,,,,,80.0,80,60.0,86.0,80.0,84.0,80.0,75,,,,,,,76.0,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watch-dogs,,,,,,80.0,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,90.0,,,,80.0,,,,,,,,,,,,70.0,,,,,,,70.0,70.0,70,,,,,,,80.0,,,,,,,,,,,86.0,,,,,,85,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
before-your-eyes,,,85.0,80,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,90.0,,,,,85.0,,,98,,,,,,,,90,,,70.0,,,,,,,,,78.0,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,90.0,85.0,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,80.0,,,,,,,,70.0,,,,,,,,60,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sid-meiers-railroads!,,,,81,,,80,,,,80,,,,70.0,,,,,,,,70,,60.0,,100.0,60.0,,,,,,,,60.0,,,,,,,,,,,73.0,85,82.0,,,71.0,,,,,,,78.0,,,,,,,,,,,,,78.0,,,,,,82.0,,,,,,70.0,,67.0,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,50.0,,80.0,84.0,80.0,,,,,,,,,,,,,,,,,,,,,80,,,85.0,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darksiders-genesis,80.0,,,70,75,80.0,87,80,,,65,...,,,,,,,,,,,...,,,,,,80.0,,,,,,,60.0,,,,,,,,,,,,81,,,,,,89.0,,,,,,,,,,,,,,,90,,,,,,,,,,,,,80,,,,,,,,,,75.0,80.0,,,50.0,,90,80.0,70.0,85.0,,90,,60,80.0,,,80,,,,,,75.0,80,,,70.0,86.0,84.0,80,,80.0,,70.0,85.0,75.0,,80,,82,,70.0,,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,80,,...,,,70,80,,,,,,,,,,,,75.0,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,83.0,70.0,,,80,,,,80.0,87,50.0,,,80,,,,90,,,,,,,,,,,,,65.0,,,85,,,,,80,,,80.0,90,,,,,,,81.0,75.0,,76,80.0,80,,,,,,,,,90,,80.0,,,,,,,,,,,80.0,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,80,,,,,,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magic-duels-origins,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,70,,,,,,,,,,65.0,,,,,,,,,,,,,,70.0,,,,,,,,,,,,80.0,85.0,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,79.0,,,,,73.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motogp-3-ultimate-racing-technology,,,,76,,,,,,,,,,,,,,,,,,,70,,,,,60.0,80.0,,,,,,,70.0,,,,,,,,,,,,78,,,75.0,,,,,,,80.0,87.0,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wild-hearts,25.0,,,80,,,,,85,80,,,,,,,,,,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,90,80.0,,,,70,80,,,,,80.0,,,,,,,,,,,,80.0,,85.0,72.0,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,80,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,60,80.0,,,,,70.0,,70.0,90.0,70.0,80,,70.0,70,,,,,,80.0,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,60.0,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,78.0,,,,,,,,,,,,,
genesis-noir,,,,,,,,,,,,,,,,,,,,,,,...,,,,,,,,,,,,,80.0,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,80.0,,,,,,,,,,,70,,,70.0,,,,,,,,,68.0,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,...,,70,,85,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,81.0,,,,,,,,,70,90.0,,,,,,...,,,,,,,,,,,,,,90,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eldritch,,,,70,,,77,,,,,90,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,83.0,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spellforce-conquest-of-eo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,70.0,,,,,,,,,,,,,,,70,,,,70.0,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,,85.0,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
as-dusk-falls,,,,,95,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,60,,,,,,,,,80.0,,76.0,,,,,80.0,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,90,,70.0,,75,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heros-hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,79.0,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olija,90.0,,,80,,,70,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,75.0,,,80,,,80,,,,,,,,,,,,60,80,,,,83.0,,70.0,,,,,,,,,70.0,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,70.0,85.0,,,,,,,,,,,,,,,80,,,,90,,,,,,...,,,,,,,,,,80,,,,,,,,70.0,,,,,,,,82.0,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
signs-of-the-sojourner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,80,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,...,,,,65,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,60.0,,,,,,,,82.0,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-fold-apart,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,...,,,,,,,,70,,,,,,,,,,,,70.0,90,,,,,,,,,,70.0,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,80,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,80.0,70.0,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shadow-of-the-tomb-raider,,,,60,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,85.0,70,,,,,,,,,,,,,,,,,,90.0,,90.0,71.0,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,82.0,,,,,,,,,,,,,80,,,,,,,,,,,,,,60,20.0,,,,,90,,,,,,,,,,,,,,,,,,,80,,,,,,80.0,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cosmic-star-heroine,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
on-rusty-trails,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,80,60.0,,,,,,,80.0,,,,,,75,,,,80,,,,,,,,,,,,,75,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lumo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,80.0,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
